DocEntry;DocDate;CardCode;CardName;ItemCode;Dscription;Miktar;ShipToCode;Address2
1486;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012095;MOD 1 Z_250 BEYAZ (URFA);200;CAGLAYAN AMBALAJ;ÇAGLAYAN AMBALAJ - KASIM ÇAGLAYAN ESENSEHIR MAH. BOSTANCIYOLU DERVISOGLU PASAJI NO:721  34000 İSTANBUL TÜRKIYE
1487;2021-10-31 00:00:00.000;M010444;ERZE IZMIR SUBE;TA000012197;MOD 29/B BEYAZ (URFA);1.100;ERZE IZMIR;KIZILÜZÜM MAH. KEMALPAŞA KIZILÜZÜM CAD.  35000 İZMİR TÜRKIYE
1488;2021-10-31 00:00:00.000;M010098;EKİN PLASTİK-EYÜP ZORKİRİŞÇİ;TA000012194;MOD 27/CZ BEYAZ (URFA);422;DEPO 4.ORG;DEPO 4. ORG SAN BÖLG. 83414 NOLU CAD. NO:15 BAŞPINAR  27000 GAZİANTEP TÜRKIYE
1489;2021-10-31 00:00:00.000;M010041;BEYPİ A.Ş.;TA000010782;MOD 123 OP_200 C BEYAZ;645;KESİMHANE;BEYPİ A.Ş. VAKIFGEÇITVEREN KÖYÜ KABAKÇIKIRI SOK. NO:4  14000 BOLU TÜRKIYE
1490;2021-10-31 00:00:00.000;M020093;MALEK KARAMAN;TA000011258;MOD 2_U_L BEYAZ (URFA);400;ShIp TO;CİLVEGÖZÜ  35800 SYRIA
1490;2021-10-31 00:00:00.000;M020093;MALEK KARAMAN;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);300;ShIp TO;CİLVEGÖZÜ  35800 SYRIA
1490;2021-10-31 00:00:00.000;M020093;MALEK KARAMAN;TA000011069;MOD 16/A_U_L BEYAZ (URFA);512;ShIp TO;CİLVEGÖZÜ  35800 SYRIA
1490;2021-10-31 00:00:00.000;M020093;MALEK KARAMAN;TA000010337;MOD 1_U_L BEYAZ (URFA);320;ShIp TO;CİLVEGÖZÜ  35800 SYRIA
1491;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ SAN.TİC.LTD.ŞTİ;TA000012129;MOD 2 BEYAZ (URFA);200;HAMZAOGLU ADAPAZARI;HAMZAOGLU AMBALAJ TIC.LTD.STI. GÜNEY MOBILYACILAR SANAYI SIT. 1291. SOK.  0 533 644 08 71 GÜLTEKIN BEY TÜRKIYE
1492;2021-10-31 00:00:00.000;M010202;TALİH KAGITÇILIK - FIGEN TALIH;TA000012214;MOD 36/DZ_100 BEYAZ (URFA);13;İZMİR DEPO;12031 SOK. NO:27 GIDA ÇARSISI   TÜRKIYE
1493;2021-10-31 00:00:00.000;M010202;TALİH KAGITÇILIK - FIGEN TALIH;TA000012258;MOD 16/A BEYAZ (URFA);4;İZMİR DEPO;12031 SOK. NO:27 GIDA ÇARSISI   TÜRKIYE
1494;2021-10-31 00:00:00.000;M010202;TALİH KAGITÇILIK - FIGEN TALIH;TA000012113;MOD 16/A Z_150 BEYAZ (URFA);10;İZMİR DEPO;12031 SOK. NO:27 GIDA ÇARSISI   TÜRKIYE
1495;2021-10-31 00:00:00.000;M010202;TALİH KAGITÇILIK - FIGEN TALIH;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);170;MANISA DEPO;TALİH AMBALAJ INÖNÜ MAH. MURADIYE ORTA ÖLÇEKLI SANAYI BÖLGESI 14 SK. NO:13  45000 MANİSA TÜRKIYE
1496;2021-10-31 00:00:00.000;M010202;TALİH KAGITÇILIK - FIGEN TALIH;TA000012214;MOD 36/DZ_100 BEYAZ (URFA);10;İZMİR DEPO;12031 SOK. NO:27 GIDA ÇARSISI   TÜRKIYE
1497;2021-10-31 00:00:00.000;M010200;TURPAK SAN.TİC.LTD.ŞTİ.;TA000012113;MOD 16/A Z_150 BEYAZ (URFA);500;DEPPO AMBALAJ;DEPPO AMBALAJ MACUN MAH. YAPI MARKETÇILERI SITESI 249 SOK. NO:445  06000 ANKARA TÜRKIYE
1498;2021-10-31 00:00:00.000;M010200;TURPAK SAN.TİC.LTD.ŞTİ.;TA000012131;MOD 2 Z_250 BEYAZ (URFA);400;DEPO;DEPPO AMBALAJ AKYURT DEPO NURETTIN CANKURTARAN CAD. NO:71/A AKYURT ANKARA 0 537 698 90 93  ANKARA TÜRKIYE
1499;2021-10-31 00:00:00.000;M010196;ŞEN PİLİÇ GIDA SAN.A.Ş.;TA000011005;MOD 16/A_225 C KIRMIZI;240;ALİ FUAT PAŞA KESİMHANE;ŞEN PİLİÇ A.Ş. ALİFUATPAŞA MAH. ADAPAZARI CAD. NO:174  54000 SAKARYA TÜRKIYE
1500;2021-10-31 00:00:00.000;M010196;ŞEN PİLİÇ GIDA SAN.A.Ş.;TA000011038;MOD 16/A_S_OP_225_C KIRMIZI;800;SÖĞÜTLÜ KESİMHANE;ŞEN PİLİÇ A.Ş. SÖĞÜTLÜ KESİMHANE SOĞUCAK MAH. 3.ORGANIZE SAN.BÖL. 6.YOL NO:40  54000 SAKARYA TÜRKIYE
